the,ðә
bumpy,"'bʌmpi"
knowing,"'nәuiŋ"
downfall,"'daunfɒ:l"
embellish,"im'beliʃ"
mesa,"'meisә"
twelfth,twelfθ
detergent,"di'tә:dʒәnt"
steamy,"'sti:mi"
unnerve,".ʌn'nә:v"
euphoria,"ju:'fɒ:riә"
reintroduce,"ri:intrә'dju:s"
exhilarating,"ig'zilәreitiŋ"
gnaw,nɒ:
soggy,"'sɒgi"
undue,".ʌn'dju:"
atheist,"'eiθiist"
refinance,".ri:fai'næns"
vacate,"vә'keit"
fright,frait
loathe,lәuð
provocation,".prɒvә'keiʃәn"
fauna,"'fɒ:nә"
glaring,"'glєәriŋ"
covet,"'kʌvit"
gridlock,ˈgrɪdlɒk
sheath,ʃi:θ
underwrite,"'ʌndәrait"
trump,trʌmp
veal,vi:l
logger,"'lɒgә"
wobble,"'wɒbl"
posttest,"'pəʊstɪst"
pocketbook,"'pɒkitbuk"
clamber,"'klæmbә"
peg,peg
countertop,"'kajntәtɔp"
honk,hɒŋk
bosom,"'buzәm"
simmering,"'sɪmərɪŋ"
pawn,pɒ:n
forfeit,"'fɒ:fit"
momentous,"mәu'mentәs"
millimeter,"'milimi:tә"
detonate,"'detәneit"
amputation,".æmpju'teiʃәn"
naughty,"'nɒ:ti"
inseparable,"in'sepәrәbl"
captivate,"'kæptiveit"
chimpanzee,".tʃimpәn'zi:"
nook,nuk
strenuous,"'strenjuәs"
appall,"ә'pɒ:l"
substantiate,"sәb'stænʃieit"
vibe,vaɪb
parmesan,"'pɑ:mizæn"
utensil,"ju:'tensl"
antics,"'æntiks"
flaming,"'fleimiŋ"
cosmopolitan,",kɔzmә'pɔlitәn"
overtly,"'әuvә:tly. әu'vә:tly"
hasty,"'heisti"
immaculate,"i'mækjulit"
glitch,^litʃ
unnecessarily,"ʌn'nesisәrili"
pessimism,"'pesimizm"
impasse,"'impɑ:s"
doe,dәu
enactment,"i'næktm(ә)nt"
homestead,"'hәumsted"
fluctuate,"'flʌktʃueit"
insightful,"'in.saitful"
pimp,pimp
bathing,"'beiðiŋ"
adherent,"әd'hiәrәnt"
oftentimes,"'ɒ:fntaimz"
checkup,"'tʃekʌp"
binge,bindʒ
overcoat,"'әuvәkәut"
epiphany,"i'pifәni"
foggy,"'fɒgi"
roasting,"'rәustiŋ"
stucco,"'stʌkәu"
apprenticeship,"ә'prentisʃip"
sobering,ˈsəʊbərɪŋ
beleaguered,"bɪ'liɡɚd"
flashback,"'flæʃbæk"
paternal,"pә'tә:nl"
launcher,"'lɒ:ntʃә"
registry,"'redʒistri"
polarization,",pәjlәrai'zeiʃәn; -ri'z-"
inflated,"in'fleitid"
aversion,"ә'vә:ʃәn"
nurturing,ˈnə:tʃərɪŋ
chronology,"krә'nɔlәdʒi"
idiom,"'idiәm"
binder,"'baindә"
individualized,ˌɪndɪˈvɪdʒuəlaɪzd
incline,"in'klain"
coalesce,".kәuә'les"
conceptualization,"kәn,septjjәlai'zeiʃәn; -li'z-"
accomplice,"ә'kʌmplis"
insomnia,"in'sɒmniә"
serenity,"si'reniti"
uncomfortably,ʌnˈkʌmftəbli
combo,"'kɒmbәu"
mistaken,"mis'teikәn"
colossal,"kә'lɒsәl"
scuttle,"'skʌtl"
boo,bu:
egalitarian,"i.gæli'tєәriәn"
vaginal,"vә'dʒainl"
sneer,sniә
microprocessor,".maikrәu'prәusesә"
crease,kri:s
midsummer,"'midsʌmә"
skewer,skju:ә
compressed,"kәm'prest"
airfield,"'єәfi:ld"
espresso,"e'spresәu"
mourner,"'mɒ:nә"
unimportant,".ʌnim'pɒ:tnt"
whipped,hwipt
shopkeeper,"'ʃɒp.ki:pә"
assailant,"ә'seilәnt"
outperform,".autpә'fɔ:m"
appalled,"ə'pɔ:ld"
compulsory,"kәm'pʌlsәri"
whiteness,"'hwaitnis"
calculus,"'kælkjulәs"
workman,"'wә:kmәn"
thud,θʌd
geographer,"dʒi'ɒgrәfә"
apparition,".æpә'riʃәn"
sheen,ʃi:n
piercing,"'piәsiŋ"
diminishing,"di'miniʃiŋ"
helplessness,"'helpləsnəs"
whopping,"'hwɒpiŋ"
leek,li:k
bonfire,"'bɒnfaiә"
sneeze,sni:z
fortify,"'fɒ:tifai"
patchwork,"'pætʃwә:k"
acreage,"'eikәridʒ"
priesthood,"'pri:sthud"
cavernous,"'kævәnәs"
arsenic,"'ɑ:sәnik"
composure,"kәm'pәuʒә"
coupe,"'ku:pei"
keenly,"'ki:nli"
equator,"i'kweitә"
modality,"mәu'dæliti"
primacy,"'praimәsi"
spec,spek
lastly,"'lɑ:stli"
culmination,".kʌlmi'neiʃәn"
purposeful,"'pә:pәsful"
twinkle,"'twiŋkl"
classy,"'klɑ:si"
dramatize,"'dræmәtaiz"
subculture,"'sʌb,kʌltʃә"
perilous,"'perilәs"
permissible,"pә'misәbl"
acrylic,"ә'krilik"
pious,"'paiәs"
mating,"'meitiŋ"
rustle,"'rʌsl"
waxed,"'wæksid"
mutant,"'mju:tәnt"
fondly,"'fɒndli"
earthy,"'ә:θi"
aback,"ә'bæk"
twisting,"'twistiŋ"
analyse,"'ænәlaiz"
upside,"'ʌpsaid"
algebra,"'ældʒibrә"
materialism,"mә'tiәriәlizm"
fixation,"fik'seiʃәn"
epoch,"'i:pɒk"
reset,".ri:'set"
gimmick,"'gimik"
limbo,"'limbәu"
adorable,"ә'dɒ:rәbl"
cork,kɒ:k
astound,"ә'staund"
tabletop,"'teibltɒp"
deficient,"di'fiʃәnt"
imbue,"im'bju:"
meander,"mi'ændә"
chronically,"'krɒnikli"
wondrous,"'wʌndrәs"
windmill,"'windmil"
pitiful,"'pitiful"
knead,ni:d
intravenous,".intrә'vi:nәs"
cunning,"'kʌniŋ"
chap,tʃæp
schema,"'ski:mә"
companionship,"kәm'pænjәnʃip"
sullen,"'sʌlәn"
appointed,"ә'pɔintid"
lowland,"'lәulәnd"
egregious,"i'gri:dʒiәs"
stamina,"'stæminә"
grizzly,"'grizli"
poach,pәutʃ
booty,"'bu:ti"
comp,kɔmp
lander,"'lændә"
dreary,"'driәri"
macaroni,".mækә'rәuni"
ale,eil
baptize,"bæp'taiz"
rocking,"'rɒkiŋ"
reflector,"ri'flektә"
gunner,"'gʌnә"
scoot,sku:t
cherished,ˈtʃeriʃt
aggregate,"'ægrigәt"
jumping,"'dʒʌmpiŋ"
promulgate,"prә'mʌlgeit"
gale,geil
paraphrase,"'pærәfreiz"
cayenne,"kei'en"
trucker,"'trʌkә(r)"
venom,"'venәm"
annuity,"ә'nju:iti"
teapot,"'ti:pɒt"
preparedness,"pri'pєәdnis"
shroud,ʃraud
eagerness,"'i:gәnis"
gamma,"'^æmә"
immortality,".imɒ:'tæliti"
impossibility,"im.pɒsә'biliti"
apocalyptic,"ә.pɒkә'liptik"
named,neimd
microbial,"mai'krәubiәl"
flail,fleil
magnification,".mægnifi'keiʃәn"
spook,spu:k
impeccable,"im'pekәbl"
dependable,"di'pendәbl"
childlike,"'tʃaillaik"
loudspeaker,"'laud'spi:kә"
inhibitor,"in'hibitә(r)"
inescapable,".ini'skeipәbl"
fodder,"'fɒdә"
manually,"'mænjuәli"
nonverbal,"nɔn'vә:bәl"
onlooker,"'ɔnljkә(r)"
cornmeal,"'kɒ:nmi:l"
layered,"'leiәd"
pun,pʌn
elongated,ˈi:lɒŋgeɪtɪd
blazer,"'bleizә"
wellness,"'welnis"
midlife,"'midlaif"
grazing,"'greiziŋ"
wholesome,"'hәulsәm"
camcorder,"kæm'kɔ:dә"
entirety,"in'taiәti"
coloring,"'kʌlәriŋ"
replication,".repli'keiʃәn"
persecute,"'pә:sikju:t"
deluxe,"dә'luks"
wasteful,"'weistful"
salted,"'sɒ:ltid"
agitation,".ædʒi'teiʃәn"
idiosyncratic,".idiәsiŋ'krætik"
refill,"ri:'fil"
borderline,"'bɒ:dәlain"
domestically,"dәu'mestikli"
drench,drentʃ
raucous,"'rɒ:kәs"
slew,slu:
cohesive,"kәu'hi:siv"
fascist,"'fæʃist"
bandwidth,"'bændwidθ"
listed,"'listid"
simulator,"'simjuleitә"
chime,tʃaim
treason,"'tri:zn"
scallions,ˈskæljənz
therein,".ðєәr'in"
cartoonist,"kɑ:'tu:nist"
mystique,"mis'ti:k"
parable,"'pærәbl"
droplet,"'drɒplit"
hooded,"'hudid"
proverb,"'prɒvә:b"
vagina,"vә'dʒainә"
kicker,"'kikә"
imperfection,".impә'fekʃәn"
overestimate,".әuvәr'estimeit"
activation,"ækti'veiʃәn"
reuse,"ri:'ju:z"
smog,smәug
precedence,"pri'si:dns"
participatory,"pɑ:'tisipeitәri"
respite,"'respait"
compatibility,"kәm.pætә'biliti"
innumerable,"i'nju:mәrәbl"
computation,".kɒmpju'teiʃәn"
quell,kwel
inaccessible,".inæk'sesәbl"
enrage,"in'reidʒ"
lodging,"'lɒdʒiŋ"
inertia,"i'nә:ʃә"
herein,".hiәr'in"
notoriety,".nәutә'raiәti"
brothel,"'brɒθәl"
reindeer,"'rein.diә"
flimsy,"'flimzi"
redundant,"ri'dʌndәnt"
underworld,"'ʌndәwә:ld"
cello,"'tʃelәu"
rendezvous,"'rɒndivu:"
holster,"'hәulstә"
agitated,"'ædʒiteitid"
centrality,"sen'træliti"
amish,"'ɑ:miʃ"
understate,".ʌndә'steit"
vulture,"'vʌltʃә"
torpedo,"tɒ:'pi:dәu"
contraceptive,".kɒntrә'septiv"
periodical,".piәri'ɒdikl"
postcolonial,",pәjstkә'lәjnjәl,-ni-"
mane,mein
pulitzer,"'pulitsә"
stockholder,"'stɒkhәuldә"
bigotry,"'bigәtri"
digging,"'digiŋ"
nagging,"'nægiŋ"
auspice,"'ɒ:spis"
speechless,"'spi:tʃlis"
recur,"ri'kә:"
furry,"'fә:ri"
painkiller,"'pein,kilә(r)"
predispose,".pri:di'spәuz"
warring,"'wɔ:riŋ"
inexplicable,"in'eksplikәbl"
restart,".ri:'stɑ:t"
lax,læks
toil,tɒil
sync,siŋk
dissemination,"di.semi'neiʃә"
caribou,"'kæribu:"
oppress,"ә'pres"
policing,pəˈli:sɪŋ
boiled,bɔild
pulmonary,"'pʌlmәnәri"
handbook,"'hænd,buk"
inundate,"'inʌndeit"
cobalt,"'kәubɒ:lt"
hangover,"'hæŋәuvә"
absentee,".æbsәn'ti:"
plurality,".pluә'rælәti"
repress,"ri'pres"
tableau,"'tæblәu"
reparation,".repә'reiʃәn"
pungent,"'pʌndʒәnt"
postulate,"'pɒstjuleit"
sarcastic,"sɑ:'kæstik"
transistor,"træn'zistә"
trilogy,"'trilәdʒi"
panorama,".pænә'rɑ:mә"
untold,"'ʌn'tәuld"
burly,"'bә:li"
stardom,"'stɑ:dәm"
tranquil,"'træŋkwil"
miscarriage,"mis'kæridʒ"
bombard,"bɒm'bɑ:d"
somali,"sәu'mɑ:li"
fifteenth,"'fif'ti:nθ"
defensively,"di'fɛnsivli"
preparatory,"pri'pærәtәri"
telltale,"'telteil"
zombie,"'zɔmbi"
assembled,"ә'sembәld"
drying,"'draiiŋ"
grinder,"'graindә"
variously,"'veәriәsli"
scapegoat,"'skeipgәut"
topography,"tә'pɒgrәfi"
rightful,"'raitful"
prism,"'prizm"
gymnasium,"dʒim'neiziәm"
mindless,"'maindlis"
diva,"'di:vә"
mire,maiә
linked,liŋkt
roomy,"'ru:mi"
shellfish,"'ʃelfiʃ"
scooter,"'sku:tә"
marquee,"mɑ:'ki:"
capitol,"'kæpitl"
kissing,"'kisiŋ"
miniseries,ˈmɪnisɪəri:z
trustworthy,"'trʌst.wә:ði"
sidestep,"'saidstep"
gravely,"'greivli"
whimsical,"'hwimzikl"
immunization,".imju:nai'zeiʃәn"
effortlessly,"'efətləslɪ"
mounting,"'mauntiŋ"
courier,"'kuriә"
recoil,"ri'kɒil"
lyrical,"'lirikәl"
disoriented,"dis'ɔ:rientid"
armpit,"'ɑ:mpit"
evasion,"i'veiʒәn"
hormonal,"hɒ:'mәunәl"
fondness,"'fɔndnis"
consensual,"kәn'sensjuәl"
extremism,"ik'stri:mizm"
pike,paik
ovation,"әu'veiʃәn"
undisturbed,".ʌndi'stә:bd"
khaki,"'kɑ:ki"
hiking,"'haikiŋ"
jamaican,"dʒә'meikәn"
finder,"'faindә"
precondition,".pri:kәn'diʃәn"
embedded,"im'bedid"
pep,pep
complimentary,".kɒmpli'mentәri"
weakest,wi:kɪst
ordain,"ɒ:'dein"
standout,"'stændaut"
malicious,"mә'liʃәs"
checkbook,"'tʃekbuk"
astute,"ә'stju:t"
unaffected,".ʌnә'fektid"
archaic,"ɑ:'keiik"
prowl,praul
vestige,"'vestidʒ"
figurine,"'figjuri:n"
fertilization,".fә:tilai'zeiʃәn"
quail,kweil
appraise,"ә'preiz"
discernible,"di's\\:nәbl,-'z\\:-"
erection,"i'rekʃәn"
financier,"fai'nænsiә"
entrench,"in'trentʃ"
afar,"ә'fɑ:"
assisted,əˈsistid
revamp,"ri:'væmp"
manic,"'meinik"
glee,gli:
extracurricular,".ekstrәkә'rikjulә"
transfusion,"træns'fju:ʃәn"
understatement,"ʌndә'steitmәnt"
stoke,stәuk
overcrowded,ˌəʊvəˈkraʊdɪd
stiffly,"'stifli"
heirloom,"'єәlum"
failing,"'feiliŋ"
excruciating,"iks'kru:ʃieitiŋ"
vindicate,"'vindikeit"
impractical,"im'præktikәl"
overdose,"'әuvәdәus"
uproar,"'ʌprɒ:"
din,din
migraine,"'mi:^rein, 'mai-"
observational,",ɔbzә'veiʃәnәl"
jolly,"'dʒɒli"
manslaughter,"'mænslɒ:tә"
candor,"'kændә"
cadmium,"'kædmiәm"
eel,i:l
uncontrollable,".ʌnkәn'trәulәbl"
caterpillar,"'kætәpilә"
ply,plai
err,ә:
winged,wiŋd
arcane,"ɑ:'kein"
covering,"'kʌvәriŋ"
renegade,"'renigeid"
hoax,hәuks
prosthetic,"prɔs'θetik"
gathered,"'gaðəd"
aspen,"'æspәn"
newscast,"'nju:zkɑ:st"
mouthful,"'mauθful"
writhe,raið
dredge,dredʒ
axle,"'æksl"
skirmish,"'skә:miʃ"
fluency,"'flu:әnsi"
standardize,"'stændәdaiz"
semblance,"'semblәns"
replete,"ri'pli:t"
junction,"'dʒʌŋkʃәn"
pesto,"'pestәj"
instil,"in'stil"
jostle,"'dʒɒsl"
primordial,"prai'mɒ:diәl"
vanguard,"'vængɑ:d"
blunder,"'blʌndә"
glint,glint
allot,"ә'lɒt"
posh,pɒʃ
eyelash,"'ailæʃ"
custard,"'kʌstәd"
multidimensional,".mʌltidi'menʃәnl"
seaweed,"'si:wi:d"
thorny,"'θɒ:ni"
memento,"mi'mentәu"
wisp,wisp
blocking,"'blɔkiŋ"
urn,ә:n
encase,"in'keis"
computational,".kɒmpju'teiʃәnәl"
configure,"kәn'figә"
budgetary,"'bʌdʒitәri"
cull,kʌl
nutritionist,"nju:'triʃәnist"
corrective,"kә'rektiv"
pornographic,".pɒ:nә'græfik"
elitist,"ei'litist"
pare,pєә
wacky,"'wæki"
stripper,"'stripә"
linoleum,"li'nәuliәm"
clot,klɒt
muck,mʌk
nutritious,"nju:'triʃәs"
filipino,".fili'pi:nәu"
marinate,"'mærineit"
kiosk,"ki'ɒsk"
increment,"'inkrimәnt"
angst,æŋst
heterogeneous,".hetәrәu'dʒi:njәs"
wiry,"'waiәri"
geneticist,"dʒi'netisist"
behemoth,"bi'hi:mɔθ"
mull,mʌl
abate,"ә'beit"
nah,nɑ:
secluded,"si'klu:did"
veritable,"'veritәbl"
inconceivable,".inkәn'si:vәbl"
dole,dәul
expatriate,"eks'peitrieit"
nascent,"'næsnt"
infuriate,"in'fjuәrieit"
electrician,".ilek'triʃәn"
mecca,"'mekә"
minuscule,"'minәskju:l"
alibi,"'ælibai"
crazed,kreizd
fanfare,"'fænfєә"
sprinkler,"'spriŋklә"
chemically,"'kemikli"
hooker,"'hukә"
mainstay,"'meinstei"
psychotic,"sai'kɒtik"
caper,"'keipә"
polyester,".pɒli'estә"
observance,"әb'zә:vәns"
rotting,"'rɔtiŋ"
deafening,"'defәniŋ"
molten,"'mәultәn"
scuba,"'skju:bә"
prick,prik
preface,"'prefis"
asking,"'ɑ:skiŋ"
colonize,"'kɒlәnaiz"
impromptu,"im'prɒmptju:"
repertory,"'repәtәri"
beep,bi:p
biographical,"baiәu'græfikәl"
borrowed,"'bɒrәud"
deduce,"di'dju:s"
retardation,".ri:tɑ:'deiʃәn"
bribery,"'braibәri"
postage,"'pәustidʒ"
constitutionally,",kɔnsti'tju:ʃәnәli"
shipyard,"'ʃipjɑ:d"
implied,"'implaid"
pamper,"'pæmpә"
tortoise,"'tɒ:tәs"
stereotypical,",steriə'tipikl"
unrestricted,".ʌnri'striktid"
politicize,"pә'litisaiz"
levy,"'levi"
piston,"'pistәn"
battleship,"'bætlʃip"
sonic,"'sɒnik"
reformed,"ri'fɒ:md"
forcibly,"'fɒ:sәbli"
procure,"prәu'kjuә"
muffle,"'mʌfl"
inefficiency,".ini'fiʃәnsi"
brooding,"'bru:diŋ"
nocturnal,"nɒk'tә:nәl"
inherited,"in'heritid"
lull,lʌl
misgiving,"mis'^iviŋ"
geek,gi:k
waffle,"'wɒfl"
estuary,"'estjuәri"
blackboard,"'blækbɒ:d"
cultivated,"'kʌltiveitid"
tote,tәut
stout,staut
archival,"ɑ: 'kaivәl"
dermatologist,".dә:mә'tɒlәdʒist"
gouge,gaudʒ
funk,fʌŋk
steamer,"'sti:mә"
doubly,"'dʌbli"
dripping,"'dripiŋ"
monoxide,"mɒ'nɒksaid"
pendant,"'pendәnt"
vehemently,"'vi:əməntlɪ"
climatic,"klai'mætik"
cashmere,"'kæʃmiә"
circumstantial,".sә:kәm'stænʃәl"
radiator,"'reidieitә"
ace,eis
skylight,"'skailait"
flaunt,flaunt
dislodge,"dis'lɒdʒ"
haste,heist
consolidated,"kәn'sɔlideitid"
impulsive,"im'pʌlsiv"
broadband,"'brɔ:dbænd"
darkly,"'dɑ:kli"
subsidized,ˈsʌbsidaizd
payout,"'pei'aut"
beset,"bi'set"
philharmonic,".filɑ:'mɒnik"
overture,"'әuvә.tʃuә"
fascism,"'fæʃizm"
spade,speid
guarded,"'gɑ:did"
intercom,"'intәkɔm"
nozzle,"'nɒzl"
slant,slænt
dislocation,"dislou'keiʃәn"
armenian,"ɑ:'mi:njәn"
chide,tʃaid
jock,dʒɔk
musically,"'mju:zikli"
acknowledgement,"әk'nɒlidʒmәnt"
adventurer,"әd'ventʃәrә"
debtor,"'detә"
leisurely,"'li:ʒәli"
fore,fɒ:
mater,"'meitә"
uncontrolled,".ʌnkәn'trәuld"
mummy,"'mʌmi"
pathological,",pæθә'lɔdʒikәl"
apex,"'eipeks"
liturgical,"li'tә:dʒikl"
juniper,"'dʒu:nipә"
dispatcher,"dis'pætʃә"
wastewater,"'weistwɔ:tә"
aggressor,"ә'gresә"
fiberglass,"'faibә^lɑ:s"
repressed,"ri'prest"
cheaply,"'tʃipli"
chronological,", krɔnә'lɔdʒikәl"
garb,gɑ:b
juxtapose,".dʒʌkstә'pәuz"
scot,skɒt
chassis,"'ʃæsi"
inconvenient,".nkәn'vi:njәnt"
stalemate,"'steilmeit"
naming,"'neimiŋ"
popularize,"'pɒpjulәraiz"
siding,"'saidiŋ"
ya,"'jә"
veneer,"vә'niә"
buggy,"'bʌgi"
discreetly,"dɪ'skri:tlɪ"
apprehensive,".æpri'hensiv"
spatula,"'spætʃәlә"
pennant,"'penәnt"
ordering,"'ɔ:dәriŋ"
reconnect,".ri:kә'nekt"
eleventh,"i'levnθ"
hotline,"'hɔtlain"
crepe,kreip
celtic,"'keltik; 'seltik"
parisian,"pә'rizjәn"
unfit,".ʌn'fit"
personalize,"'pә:sәnәlaiz"
valet,"'vælit"
diversification,"daivә:sifi'keiʃәn"
chasm,"'kæzәm"
landscaping,"'lænd.skeipiŋ"
gubernatorial,".gju:bәnә'tɒ:riәl"
purify,"'pjuәrifai"
pretext,"'pri:tekst"
centrist,"'sentrist"
believable,"bi'li:vәbl"
fathom,"'fæðәm"
prioritize,"'praiәritaiz"
bustle,"'bʌsl"
aquifer,"'ækwifә"
attune,"ә'tju:n"
habitual,"hә'hitʃuәl"
lithuanian,".liθju:'einiәn"
mantel,"'mæntәl"
sarcasm,"'sɑ:kæzm"
snowstorm,"'snәustɒ:m"
preposterous,"pri:'pɒstәrәs"
fertilize,"'fә:tilaiz"
sioux,su:
residuals,"rɪ'zɪdʒʊəlz"
murdered,ˈmə:dəd
idly,"'aidli"
carrying,"'kæriiŋ"
communicator,"kә'mju:nikeitә"
ruffle,"'rʌfl"
exhibitor,"i^'zibitә(r)"
visceral,"'visәrәl"
veranda,"vә'rændә"
clipboard,"'klipbɒ:d"
eucharist,"'ju:kәrist"
backside,".bæk'said"
upland,"'ʌplәnd"
evocative,"i'vɒkәtiv"
potency,"'pәutәnsi"
confrontational,ˌkɒnfrʌnˈteɪʃnl
rework,"ri:'wә:k"
romanian,"ru:'meiniәn"
chimp,tʃimp
ultra,"'ʌltrә"
finesse,"fi'nes"
surmise,"'sә:maiz"
acronym,"'ækrәunim"
vigilance,"'vidʒilәns"
trivia,"'triviә"
charging,"'tʃɑ:dʒiŋ"
feign,fein
intestinal,"in'testinәl"
innovator,"'inәuveitә"
gypsy,"'dʒipsi"
crusty,"'krʌsti"
kerosene,"'kerәsi:n"
observable,"әb'zә:vәbl"
unbelievably,ˌʌnbɪˈli:vəblɪ
hilltop,"'hiltɒp"
confluence,"'kɒnfluәns"
fluke,flu:k
discursive,"dis'kә:siv"
rubric,"'ru:brik"
hotly,"'hɒtli"
unbroken,"'ʌn'brәukәn"
conversational,".kɒnvә'seiʃәnl"
limitless,"'limitlis"
jeweler,"'dʒu:әlә(r)"
postmodernism,ˌpəʊstˈmɒdənɪzəm
laurel,"'lɒ:rәl"
mellow,"'melәu"
swimsuit,"'swimsju:t"
complicity,"kәm'plisiti"
futility,"fju:'tiliti"
normalize,"'nɒ:mәlaiz"
swipe,swaip
starch,stɑ:tʃ
veterinary,"'vetәrinәri"
fiancee,"fi'ɒnsei"
philanthropy,"fi'lænθrәpi"
vile,vail
brash,bræʃ
tiptoe,"'tiptәu"
puzzling,"'pʌzliŋ"
oceanic,".әuʃi'ænik"
epistemological,",episti(:)mә'lɔdʒikәl"
cautionary,"'kɒ:ʃәnәri"
doctrinal,"'dɒktrinәl"
garland,"'gɑ:lәnd"
bathrobe,"'bɑ:θrәub"
plethora,"'pleθәrә"
condolence,"kәn'dәulәns"
forbidding,"fә'bidiŋ"
briton,"'britәn"
cleavage,"'kli:vidʒ"
fanciful,"'fænsiful"
smirk,smә:k
extremity,"ik'stremiti"
porous,"'pɒ:rәs"
audubon,"'ɔ:dәbɔn"
rowing,"'rәuiŋ"
vested,"'vestid"
stockpile,"'stɒkpail"
malice,"'mælis"
saxophone,"'sæksәfәun"
striker,"'straikә"
melodic,"mә'lɒdik"
screenwriter,"'skri:nraitә"
commencement,"kә'mensmәnt"
delinquent,"di'liŋkwәnt"
creole,"'kri:әul"
populous,"'pɒpjulәs"
inactive,"in'æktiv"
perseverance,"pә:si'viәrәns"
forecaster,"'fɔ:kɑ:stә"
distressed,"di'strest"
wean,wi:n
quip,kwip
crony,"'krәuni"
automation,".ɒ:tә'meiʃәn"
saturation,".sætʃә'reiʃәn"
glorify,"'glɒ:rifai"
wafer,"'weifә"
defined,"di'faind"
fullness,"'fulnis"
sinful,"'sinful"
fisher,"'fiʃә"
swede,swi:d
grated,"'^reitid"
vowel,"'vauәl"
tombstone,"'tu:mstәun"
anatomical,".ænә'tɒmikl"
lite,lait
melancholy,"'melәnkɒli"
cornfield,"'kɒ:nfi:ld"
balsamic,"bɒ:l'sæmik"
leaflet,"'li:flit"
chunky,"'tʃʌŋki"
methodically,"mi'θɒdikәli"
cooling,"'ku:liŋ"
partisanship,"'pɑ:tәznʃip"
choreographer,".kɒri'ɒgrәfә"
posting,"'pәustiŋ"
hegemonic,".hedʒi'mɒnik"
aching,"'eikiŋ"
padding,"'pædiŋ"
spire,spaiә
lowly,"'lәuli"
snowball,"'snәubɒ:l"
newlywed,"'nju:liwed"
unease,".ʌn'i:z"
polluted,"pә'lu:tid"
deforestation,"di:.fɒ:ri'steiʃәn"
piracy,"'paiәrәsi"
discarded,"dɪs'kɑ:rdɪd"
adapter,"ә'dæptә"
deflate,"di'fleit"
blackberry,"'brækbәri"
repudiate,"ri'pju:dieit"
crevice,"'krevis"
flamboyant,"flæm'bɒiәnt"
brandish,"'brændiŋ"
cheesecake,"'tʃi:zkeik"
hydrocarbon,".haidrәu'kɑ:bәn"
clatter,"'klætә"
pelvis,"'pelvis"
tarnish,"'tɑ:niʃ"
brownie,"'brauni"
parka,"'pɑ:kә"
madly,"'mædli"
gully,"'gʌli"
tacit,"'tæsit"
morphine,"'mɒ:fi:n"
homemaker,"'hәummeikә"
brat,bræt
decorator,"'dekәreitә"
expressly,"ik'spresli"
lymph,limf
benefactor,"'benifæktә"
equatorial,".ekwә'tɒ:riәl"
coffer,"'kɒfә"
parting,"'pɑ:tiŋ"
approximation,"ә.prɒksi'meiʃәn"
apache,"ә'pætʃi"
forefinger,"'fɒ:fiŋgә"
interchange,".intә'tʃeindʒ"
percentile,"pә'sentail"
inverted,"in'vә:tid"
allegory,"'æligәri"
symmetrical,"si'metrikl"
outgrow,".aut'grәu"
agreeable,"ә'griәbl"
unlucky,".ʌn'lʌki"
critter,"'kritә"
propriety,"prә'praiәti"
experiential,"ik.spiәri'enʃәl"
stave,steiv
condense,"kәn'dens"
unsolved,"'ʌn'sɔlvd"
inlet,"'inlet"
pragmatism,"'prægmәtizm"
affliction,"ә'flikʃәn"
proverbial,"prә'vә:biәl"
penetrating,"'penitreitiŋ"
artistry,"'ɑ:tistri"
nag,næg
brunt,brʌnt
knockout,"'nɔ'kaut"
spooky,"'spu:ki"
piping,"'paipiŋ"
impenetrable,"im'penitrәbl"
toothpick,"'tu:θpik"
elaboration,"i.læbә'reiʃәn"
violinist,".vaiә'linist"
giver,"'givә"
reciprocity,".resi'prɒsiti"
predicate,"'predikәt"
commons,"'kɒmәns"
brotherhood,"'brʌðәhud"
oops,u:ps
neurologist,"nju'rɒlәdʒist"
laud,lɒ:d
retrace,"ri'treis"
andean,"'ændiәn, æn'di:әn"
dialectic,"daiә'lektik"
transcendence,"træn'sendәns"
brunch,brʌntʃ
carver,"'kɑ:vә"
sloping,"'slәjpiŋ"
freckle,"'frekl"
divulge,"di'vʌldʒ"
slang,slæŋ
implore,"im'plɒ:"
snowmobile,"'snәumәubi:l"
austere,"ɒ'stiә"
distaste,".dis'teist"
aristocracy,".æri'stɒkrәsi"
enlargement,"in'lɑ:dʒmәnt"
sedentary,"'sedәntәri"
typing,"'taipiŋ"
confessional,"kәn'feʃәnl"
wriggle,"'rigl"
cooker,"'kukә"
reminisce,".remi'nis"
melodrama,"'melәu.drɑ:mә"
rusted,rʌstid
abolition,".æbәu'liʃәn"
alcove,"'ælkәuv"
pluralistic,".pluәrә'listik"
substrate,"'sʌbstreit"
rerun,"ri:'rʌn"
font,fɒnt
jot,dʒɒt
sanctity,"'sæŋktiti"
diminished,"di'miniʃt"
limelight,"'laimlait"
recoup,"ri'ku:p"
separatist,"'sepәreitist"
apathy,"'æpәθi"
cajun,"'keidʒәn"
wavy,"'weivi"
intractable,"in'træktәbl"
outsource,"aut'sɔ:s"
blocker,"'blɔkә"
yearbook,"'jiәbuk"
sanitary,"'sænitәri"
predate,"'pri:'deit"
profanity,"prә'fæniti"
exuberance,"ig'zju:bәrәns"
spoke,spәuk
bran,bræn
inpatient,"'inpeiʃәnt"
amber,"'æmbә"
enlarged,inˈlɑ:dʒd
screwdriver,"'skru:draivә"
embroider,"im'brɒidә"
latex,"'leiteks"
